,host_country,year,distance,style,month,week,median_pace,max_pace,n_ski,tourist
119,FIN,2015,50.0,FT,2,8,14.321518103581914,20.299988722228488,1078,0.24397031539888683
120,FIN,2016,20.0,FT,2,8,10.780056894744723,18.759770713913497,325,0.4
121,FIN,2016,32.0,CT,2,8,9.043805934997645,16.587473002159825,411,0.20681265206812652
122,FIN,2016,50.0,CT,2,8,13.794160472066824,23.88218123921985,1985,0.24282115869017631
123,FIN,2016,50.0,FT,2,8,15.871616259589102,26.50957290132548,928,0.2790948275862069
124,FIN,2017,20.0,FT,5,18,12.86403430409148,23.544800523217788,341,0.31378299120234604
125,FIN,2017,32.0,CT,4,13,8.616305160807778,18.701298701298704,361,0.1634349030470914
126,FIN,2017,50.0,CT,4,13,11.757789535567312,20.571428571428573,1519,0.17709019091507572
127,FIN,2017,50.0,FT,5,18,14.350633910875784,24.206562668101128,882,0.2494331065759637
128,FIN,2017,100.0,CT,4,13,13.338767646078031,20.371208691715708,383,0.21671018276762402
129,FIN,2018,20.0,FT,2,8,10.902483343428225,20.43132803632236,313,0.46645367412140576
130,FIN,2018,32.0,CT,2,8,9.935755170978332,19.091813059330462,420,0.17857142857142858
131,FIN,2018,50.0,CT,2,8,12.74968125796855,21.569802276812464,1597,0.23356293049467752
132,FIN,2018,50.0,FT,2,8,14.35235022015685,22.539444027047335,892,0.2757847533632287
133,FIN,2018,100.0,FT,2,8,14.498088375547063,19.85659128516271,142,0.28169014084507044
134,FRA,2013,25.0,CT,9,36,9.925911000431471,21.749637506041566,198,0.25757575757575757
135,FRA,2013,25.0,FT,10,40,12.528738398686485,24.725274725274726,316,0.13924050632911392
136,FRA,2013,50.0,CT,9,36,12.768222102849876,20.773225620311596,778,0.5244215938303342
137,FRA,2013,57.0,FT,10,40,12.154957943371638,21.584095929315243,569,0.17926186291739896
138,FRA,2013,76.0,FT,10,40,13.033536585365853,22.296471355227773,2033,0.13723561239547466
139,FRA,2014,25.0,CT,8,31,10.533736147553402,24.549918166939445,260,0.2153846153846154
140,FRA,2014,25.0,FT,9,36,13.753056234718827,24.18054809242343,359,0.12534818941504178
141,FRA,2014,50.0,CT,8,31,11.90240031739734,20.332090816672316,861,0.5087108013937283
142,FRA,2014,57.0,FT,9,36,15.676088617265089,26.816518557239934,679,0.15758468335787923
143,FRA,2014,69.0,FT,9,36,15.081051545139943,23.83191019859925,2237,0.12114438980777828
144,FRA,2015,56.0,CT,7,27,11.772950245269797,20.085682972999898,541,0.4805914972273567
145,FRA,2017,25.0,CT,11,44,8.511911909147024,18.808777429467085,212,0.21226415094339623
146,FRA,2017,25.0,FT,12,48,10.275145698492494,20.862308762169683,292,0.14726027397260275
147,FRA,2017,50.0,CT,11,44,12.665803355860813,21.681522524692845,524,0.4217557251908397
148,FRA,2017,50.0,FT,12,48,14.857614527445316,26.396832380114386,2307,0.12613784135240572
149,FRA,2018,25.0,CT,10,40,9.36816904340585,22.178413011335635,229,0.16593886462882096
150,FRA,2018,25.0,FT,11,44,12.501736352271148,24.56331877729258,401,0.12468827930174564
151,FRA,2018,45.0,FT,11,44,11.411263353710567,17.835516899702743,552,0.15760869565217392
152,FRA,2018,59.0,CT,10,40,12.320901320713073,20.106020446800454,494,0.402834008097166
153,FRA,2018,59.0,FT,11,44,14.43866627547536,25.34001431639227,2026,0.11154985192497532
154,GER,2013,23.0,CT,3,9,12.734543217471549,24.324324324324323,479,0.4154488517745303
155,GER,2013,50.0,CT,3,9,15.929204038819142,26.970332634102487,2164,0.7851201478743068
156,GER,2014,23.0,CT,2,5,11.614532192453359,23.304249929636928,383,0.370757180156658
157,GER,2014,23.0,FT,1,1,17.603912179373133,27.192118226600986,558,0.3154121863799283
158,GER,2014,46.0,CT,2,5,13.885628039577394,23.396439672223792,1843,0.700488334237656
159,GER,2014,46.0,FT,1,1,18.049046321525886,26.407271567533087,537,0.5810055865921788
160,GER,2015,23.0,CT,1,1,9.692727549886264,19.341275402943236,434,0.3456221198156682
161,GER,2015,23.0,FT,1,5,12.637362637362637,18.77551020408163,619,0.308562197092084
162,GER,2015,46.0,CT,1,1,13.669569733692661,23.05764411027569,1518,0.689064558629776
163,GER,2015,46.0,FT,1,5,15.719031798766018,23.724928366762178,475,0.5010526315789474
164,GER,2017,19.0,CT,5,18,11.757628628694173,22.522225880803425,288,0.3263888888888889
165,GER,2017,19.0,FT,4,13,16.430459751809636,24.186704384724187,494,0.31781376518218624
166,GER,2017,38.0,CT,5,18,16.509775524981897,26.409266409266408,901,0.6725860155382908
167,GER,2017,38.0,FT,4,13,18.93425605536332,27.305389221556887,419,0.5298329355608592
168,GER,2018,21.0,CT,4,14,12.873570777628501,22.183098591549296,252,0.3611111111111111
169,GER,2018,21.0,FT,3,9,17.595719589098756,26.195426195426197,490,0.3489795918367347
170,GER,2018,44.0,CT,4,14,14.922279792746114,22.906724511930584,773,0.5498059508408797
171,GER,2018,44.0,FT,3,9,17.735012327701753,25.739356516087096,356,0.5
172,ISL,2015,25.0,CT,2,6,8.548229501195632,14.490420222186444,138,0.5217391304347826
173,ISL,2015,25.0,FT,4,18,13.114759737601608,22.216736608244876,64,0.796875
174,ISL,2015,50.0,CT,2,6,10.794602698650674,17.828843106180667,251,0.8406374501992032
175,ISL,2016,25.0,CT,4,17,8.310249307479225,16.33986928104575,135,0.4148148148148148
176,ISL,2016,25.0,FT,4,17,14.539579967689821,22.924095771777893,85,0.8
177,ISL,2016,50.0,CT,4,17,9.662365530588513,20.763640558311224,362,0.48066298342541436
178,ISL,2017,25.0,CT,4,17,9.577524741938918,16.850777008050926,181,0.5248618784530387
179,ISL,2017,25.0,FT,4,17,12.552301255230125,21.860578090842846,59,0.7288135593220338
180,ISL,2017,50.0,CT,4,17,10.62197568747787,21.469465648854964,495,0.5777777777777777
181,ITA,2013,45.0,CT,1,4,8.381622516556291,21.602880384051204,421,0.7030878859857482
182,ITA,2013,70.0,CT,1,4,12.01888684948866,23.54920100925147,5986,0.6274640828600067
183,ITA,2014,22.0,CT,1,4,14.343929338969842,23.77664365055539,324,0.49074074074074076
184,ITA,2014,45.0,CT,1,4,8.533052409797207,20.395316630995847,445,0.7123595505617978
185,ITA,2014,70.0,CT,1,4,12.219662996636444,22.074281709880868,6242,0.694008330663249
186,ITA,2015,33.0,CT,1,4,11.145011603991033,29.1319274153997,420,0.6428571428571429
187,ITA,2015,57.0,CT,1,4,14.359692092372288,27.305389221556887,6163,0.6582833035859159
188,ITA,2016,17.0,CT,1,4,14.800483675937123,24.20886075949367,291,0.6597938144329897
189,ITA,2016,45.0,CT,1,4,8.10648518815052,22.2161272627537,405,0.6172839506172839
190,ITA,2016,70.0,CT,1,4,11.603812681309574,24.72042377869335,5735,0.6739319965126417
191,ITA,2017,33.0,CT,1,4,10.807861067069798,28.550829127613557,414,0.5579710144927537
192,ITA,2017,57.0,CT,1,4,13.762575452716298,26.59409020217729,5757,0.6605871113427132
193,ITA,2018,22.0,CT,1,4,14.397382294128342,23.905825535768187,283,0.6183745583038869
194,ITA,2018,45.0,CT,1,4,8.906482181921376,22.942925931171224,452,0.5685840707964602
195,ITA,2018,70.0,CT,1,4,12.721811416565618,24.980174464710547,5558,0.6768621806405182
196,JPN,2013,25.0,FT,3,9,10.691375623663578,21.88183807439825,457,0.030634573304157548
197,JPN,2013,50.0,FT,3,9,12.137150137550641,20.545599817372448,626,0.14536741214057508
198,JPN,2014,25.0,FT,2,5,9.790057652561732,19.25133689839572,483,0.022774327122153208
199,JPN,2014,50.0,FT,2,5,11.210064146478171,18.881779083184725,575,0.11130434782608696
200,JPN,2015,25.0,FT,1,1,9.723949313382331,20.81887578070784,482,0.024896265560165973
201,JPN,2015,50.0,FT,1,1,11.374782521542746,20.21336327905671,546,0.10256410256410256
202,JPN,2016,25.0,FT,7,26,10.19367991845056,21.428571428571427,423,0.02364066193853428
203,JPN,2016,50.0,FT,7,26,11.429313733174256,19.94901917322398,496,0.07862903225806452
204,JPN,2017,25.0,FT,5,18,10.187336391522333,19.854401058901388,420,0.030952380952380953
205,JPN,2017,50.0,FT,5,18,11.739385638818236,20.075842070042384,481,0.07484407484407485
206,JPN,2018,25.0,FT,4,14,9.817847705443576,19.991115059973342,432,0.037037037037037035
207,JPN,2018,50.0,FT,4,14,11.926453549614443,20.049008687903765,538,0.16171003717472118
208,NOR,2013,28.0,CT,9,36,16.89009228430503,26.568265682656826,1072,0.021455223880597014
209,NOR,2013,54.0,CT,3,11,11.545999881213993,19.92211518753843,15775,0.059968304278922344
210,NOR,2014,28.0,CT,9,36,15.866519754446717,30.11652225873917,997,0.03811434302908726
211,NOR,2014,54.0,CT,3,11,10.133972788406401,17.338565822333212,1907,0.05715783953854221
212,NOR,2015,28.0,CT,3,11,18.675314087074575,31.758034026465026,978,0.03885480572597137
213,NOR,2015,54.0,CT,3,12,12.56788207913111,23.23135755258126,12075,0.11196687370600414
214,NOR,2016,15.0,CT,12,48,8.809135399673735,18.743491843110032,1051,0.02093244529019981
